"No.","Time","Source","Destination","Protocol","Length","Info"
"41","0.304259","192.168.0.21","192.168.0.20","TCP","66","58210  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991753 TSecr=65614232"
"42","0.304282","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"43","0.304310","192.168.0.20","192.168.0.21","TCP","74","22  >  58212 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614232 TSecr=2464991753 WS=128"
"44","0.304324","192.168.0.21","192.168.0.20","TCP","66","58212  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991753 TSecr=65614232"
"45","0.304335","192.168.0.20","192.168.0.21","TCP","74","22  >  58214 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614232 TSecr=2464991753 WS=128"
"46","0.304340","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"47","0.304344","192.168.0.21","192.168.0.20","TCP","66","58214  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991753 TSecr=65614232"
"48","0.304346","192.168.0.20","192.168.0.21","TCP","66","22  >  58204 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991753"
"49","0.304359","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"50","0.304399","192.168.0.20","192.168.0.21","TCP","66","22  >  58208 [ACK] Seq=1 Ack=23 Win=5632 Len=0 TSval=65614232 TSecr=2464991753"
"51","0.304435","192.168.0.21","192.168.0.20","TCP","74","58218  >  22 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM TSval=2464991753 TSecr=0 WS=128"
"52","0.304496","192.168.0.21","192.168.0.20","TCP","74","58220  >  22 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM TSval=2464991753 TSecr=0 WS=128"
"53","0.304525","192.168.0.21","192.168.0.20","TCP","74","58224  >  22 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM TSval=2464991753 TSecr=0 WS=128"
"54","0.304534","192.168.0.21","192.168.0.20","TCP","74","58222  >  22 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM TSval=2464991754 TSecr=0 WS=128"
"55","0.304614","192.168.0.21","192.168.0.20","TCP","74","58226  >  22 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM TSval=2464991754 TSecr=0 WS=128"
"56","0.304650","192.168.0.21","192.168.0.20","SSHv2","88","Client: Protocol (SSH-2.0-libssh_0.8.7)"
"57","0.304717","192.168.0.21","192.168.0.20","TCP","74","58228  >  22 [SYN] Seq=0 Win=64860 Len=0 MSS=1410 SACK_PERM TSval=2464991754 TSecr=0 WS=128"
"58","0.304733","192.168.0.20","192.168.0.21","TCP","74","22  >  58216 [SYN, ACK] Seq=0 Ack=1 Win=5592 Len=0 MSS=1410 SACK_PERM TSval=65614232 TSecr=2464991753 WS=128"
"59","0.304754","192.168.0.21","192.168.0.20","TCP","66","58216  >  22 [ACK] Seq=1 Ack=1 Win=64896 Len=0 TSval=2464991754 TSecr=65614232"
